NTACode,Borough,Growth Factor,NTA Name,Population - 2010,Population - 2011,Population - 2012,Population - 2013,Population - 2014,Population - 2015,Population - 2016,Population - 2017,Population - 2018,Population - 2019,Population - 2020
BX26,Bronx,0.045,Highbridge,33844,35367.0,36958.0,38622.0,40360.0,42176.0,44074.0,46057.0,48130.0,50295.0,52559.0
BX27,Bronx,0.045,Hunts Point,25142,26273.0,27456.0,28691.0,29982.0,31332.0,32741.0,34215.0,35754.0,37363.0,39045.0
BX28,Bronx,0.045,Van Cortlandt Village,50607,52884.0,55264.0,57751.0,60350.0,63066.0,65903.0,68869.0,71968.0,75207.0,78591.0
BX29,Bronx,0.045,Spuyten Duyvil-Kingsbridge,29872,31216.0,32621.0,34089.0,35623.0,37226.0,38901.0,40652.0,42481.0,44393.0,46390.0
BX30,Bronx,0.045,Kingsbridge Heights,33286,34784.0,36349.0,37985.0,39694.0,41480.0,43347.0,45298.0,47336.0,49466.0,51692.0
BX31,Bronx,0.045,Allerton-Pelham Gardens,28510,29793.0,31134.0,32535.0,33999.0,35529.0,37127.0,38798.0,40544.0,42369.0,44275.0
BX33,Bronx,0.045,Longwood,23082,24121.0,25206.0,26340.0,27526.0,28764.0,30059.0,31411.0,32825.0,34302.0,35846.0
BX34,Bronx,0.045,Melrose South-Mott Haven North,33195,34689.0,36250.0,37881.0,39586.0,41367.0,43229.0,45174.0,47207.0,49331.0,51551.0
BX35,Bronx,0.045,Morrisania-Melrose,29797,31138.0,32539.0,34003.0,35533.0,37132.0,38803.0,40550.0,42374.0,44281.0,46274.0
BX36,Bronx,0.045,University Heights-Morris Heights,54335,56780.0,59335.0,62005.0,64795.0,67711.0,70758.0,73942.0,77270.0,80747.0,84381.0
BX37,Bronx,0.045,Van Nest-Morris Park-Westchester Square,27135,28356.0,29632.0,30966.0,32359.0,33815.0,35337.0,36927.0,38589.0,40325.0,42140.0
BX39,Bronx,0.045,Mott Haven-Port Morris,49030,51236.0,53542.0,55951.0,58469.0,61100.0,63850.0,66723.0,69726.0,72863.0,76142.0
BX40,Bronx,0.045,Fordham South,26880,28090.0,29354.0,30675.0,32055.0,33497.0,35005.0,36580.0,38226.0,39946.0,41744.0
